number,value,datetime_start,datetime_complete,duration,params_feature_set_name,params_mlp_activation,params_mlp_alpha,params_mlp_batch_size,params_mlp_hidden_layer_sizes,params_mlp_learning_rate_init,params_mlp_tol,params_model_family,params_rf_bootstrap,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,user_attrs_cv_mae_mean,user_attrs_cv_r2_mean,user_attrs_cv_rmse_mean,user_attrs_cv_rmse_std,user_attrs_feature_list,user_attrs_feature_set_name,user_attrs_model_family,user_attrs_n_features,user_attrs_params_json,user_attrs_uses_current_city_crime_signal,state
108,10.405171753176484,2026-04-03 18:51:20.210738,2026-04-03 18:51:22.888993,0 days 00:00:02.678255,geo_knn_density,,,,,,,rf,True,30.0,0.7,1.0,7.0,900.0,7.794905130317778,0.5262050808860964,10.405171753176484,1.4613052374011255,lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city,geo_knn_density,rf,28.0,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 7, ""n_estimators"": 900}",0.0,COMPLETE
109,10.17556088997566,2026-04-03 18:51:22.889639,2026-04-03 18:51:25.179081,0 days 00:00:02.289442,all_features,tanh,0.0004346858732353964,128.0,"(128,)",0.0003714283036720344,0.000455185673827432,mlp,,,,,,,,,,,,,,,,,PRUNED
110,8.93106537415905,2026-04-03 18:51:25.179781,2026-04-03 18:51:27.584746,0 days 00:00:02.404965,all_features,,,,,,,rf,True,30.0,sqrt,1.0,6.0,900.0,6.698417790700438,0.6512901390550865,8.93106537415905,1.097699097642919,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_features,rf,45.0,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""n_estimators"": 900}",1.0,COMPLETE
111,8.690728008626518,2026-04-03 18:51:27.585414,2026-04-03 18:51:30.625268,0 days 00:00:03.039854,all_features,,,,,,,rf,True,30.0,0.7,2.0,7.0,900.0,6.328150403106756,0.6683453222393039,8.690728008626518,0.9642495581541306,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_features,rf,45.0,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""min_samples_split"": 7, ""n_estimators"": 900}",1.0,COMPLETE
112,8.690728008626518,2026-04-03 18:51:30.626120,2026-04-03 18:51:33.782856,0 days 00:00:03.156736,all_features,,,,,,,rf,True,30.0,0.7,2.0,7.0,900.0,6.328150403106757,0.6683453222393035,8.690728008626518,0.9642495581541299,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_features,rf,45.0,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""min_samples_split"": 7, ""n_estimators"": 900}",1.0,COMPLETE
113,8.689161433397608,2026-04-03 18:51:33.783524,2026-04-03 18:51:36.870626,0 days 00:00:03.087102,all_features,,,,,,,rf,True,30.0,0.7,1.0,7.0,900.0,6.3543211392405325,0.6683625968321223,8.689161433397608,0.9451780422814651,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_features,rf,45.0,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 7, ""n_estimators"": 900}",1.0,COMPLETE
114,8.689161433397606,2026-04-03 18:51:36.871269,2026-04-03 18:51:39.958797,0 days 00:00:03.087528,all_features,,,,,,,rf,True,30.0,0.7,1.0,7.0,900.0,6.354321139240534,0.6683625968321222,8.689161433397606,0.9451780422814643,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_features,rf,45.0,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 7, ""n_estimators"": 900}",1.0,COMPLETE
115,8.689161433397606,2026-04-03 18:51:39.959595,2026-04-03 18:51:43.057966,0 days 00:00:03.098371,all_features,,,,,,,rf,True,30.0,0.7,1.0,7.0,900.0,6.3543211392405325,0.6683625968321222,8.689161433397606,0.9451780422814647,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_features,rf,45.0,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 7, ""n_estimators"": 900}",1.0,COMPLETE
116,11.04063733920847,2026-04-03 18:51:43.058607,2026-04-03 18:51:43.708915,0 days 00:00:00.650308,geo_only,,,,,,,rf,False,30.0,0.7,1.0,6.0,900.0,,,,,,,,,,,PRUNED
117,8.689161433397608,2026-04-03 18:51:43.709558,2026-04-03 18:51:46.800907,0 days 00:00:03.091349,all_features,,,,,,,rf,True,30.0,0.7,1.0,7.0,900.0,6.3543211392405325,0.6683625968321223,8.689161433397608,0.9451780422814644,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_features,rf,45.0,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 7, ""n_estimators"": 900}",1.0,COMPLETE
118,8.66918767664029,2026-04-03 18:51:46.801645,2026-04-03 18:51:50.288316,0 days 00:00:03.486671,all_features,,,,,,,rf,True,30.0,0.9,1.0,7.0,900.0,6.346231932110403,0.6696258451820466,8.66918767664029,0.9655371500748349,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_features,rf,45.0,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": 0.9, ""min_samples_leaf"": 1, ""min_samples_split"": 7, ""n_estimators"": 900}",1.0,COMPLETE
