run_id,model_family,model_name,feature_set_name,n_features,uses_current_city_crime_signal,cv_mae_mean,cv_rmse_mean,cv_r2_mean,cv_rmse_std,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,rmse_overfit_gap,params_json,feature_list,mlp_n_iter
69,mlp,MLPRegressor,geo_macro,11,0,10.16629198633764,12.878072596460811,0.2756352657390902,1.045274187055317,9.676366085491495,11.969474789915312,0.3806324080673472,10.37094874928761,12.78814071801872,0.32828024720600424,0.8186659281034085,"{""alpha"": 0.0001, ""batch_size"": 64, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.001}",lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,98.0
85,mlp,MLPRegressor,geo_macro,11,0,10.197264958666883,12.83076190447451,0.2816702878374578,1.0717219637833568,9.674357568361089,11.96710392003903,0.38087774791060947,10.37200932697909,12.788883240486498,0.3282022403245437,0.8217793204474688,"{""alpha"": 0.0005, ""batch_size"": 64, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.001}",lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,98.0
42,mlp,MLPRegressor,geo_only,2,0,10.946184040327456,13.363340251379217,0.22370827725438097,1.7058762469577233,9.74278447906458,11.911142127828644,0.38665461434229254,10.397886148499607,12.8328717614113,0.3235728740864666,0.9217296335826557,"{""alpha"": 0.0005, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.0007}",lat | lon,1386.0
41,mlp,MLPRegressor,geo_only,2,0,10.912065492236998,13.32975197793794,0.227961596846656,1.6672325232136236,9.968359146029357,12.222110946133467,0.35421086785949696,10.861630625738343,13.260561109340959,0.2777341037053431,1.0384501632074912,"{""alpha"": 0.0005, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}",lat | lon,735.0
25,mlp,MLPRegressor,geo_only,2,0,10.933862181814655,13.35400729857316,0.22507167080611748,1.6694266684003847,10.053706601000874,12.317569637241299,0.3440838245015392,10.958928450888111,13.30980903306639,0.2723593466751191,0.9922393958250915,"{""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}",lat | lon,680.0
86,mlp,MLPRegressor,geo_macro,11,0,10.925546994731528,14.005562016537166,0.1186813435294127,1.4482185764945392,10.316985576423674,12.86653897684175,0.2843152412069839,10.731616341709154,13.33810933443697,0.26926173012434573,0.47157035759521904,"{""alpha"": 0.0005, ""batch_size"": 64, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.0007}",lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,83.0
70,mlp,MLPRegressor,geo_macro,11,0,10.904923775425393,14.046156687932527,0.1141766146278778,1.4192900009290532,10.317223941278472,12.866971772258822,0.28426709301519404,10.731719755681377,13.338933644217173,0.26917140648092464,0.47196187195835115,"{""alpha"": 0.0001, ""batch_size"": 64, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.0007}",lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,83.0
21,mlp,MLPRegressor,geo_only,2,0,10.601512258086617,12.95901045515869,0.27205936126795177,1.6978462720090859,10.107041560283756,12.31424754523936,0.3444375826049415,10.966761718564225,13.341675935357754,0.26887088009069127,1.027428390118395,"{""alpha"": 0.0001, ""batch_size"": 64, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.001}",lat | lon,514.0
45,mlp,MLPRegressor,geo_only,2,0,11.076907905841876,13.48692266476659,0.20432407973320416,2.1009164424598534,10.077855356316887,12.25797593319176,0.3504152548902544,10.982536639744866,13.35877357847383,0.26699576414454207,1.1007976452820696,"{""alpha"": 0.0005, ""batch_size"": 128, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.001}",lat | lon,725.0
38,mlp,MLPRegressor,geo_only,2,0,10.637691805128792,13.00266767702492,0.26706312535592625,1.6608396889784693,10.11791639563114,12.322239512708487,0.3435863842462512,11.01503618235033,13.371978451326852,0.26554592871810057,1.0497389386183649,"{""alpha"": 0.0005, ""batch_size"": 64, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.0007}",lat | lon,603.0
